"city","country","pop2024","latitude","longitude"
"Yasynuvata","Ukraine",37600,48.1298,37.8594
"Kakhovka","Ukraine",36816,46.8137,33.487
"Boryslav","Ukraine",36704,49.2867,23.4324
"Pereiaslav-Khmelnytskyi","Ukraine",36527,50.0674,31.4497
"Chuhuyiv","Ukraine",36519,49.8359,36.688
"Dobropillya","Ukraine",35977,48.4615,37.0852
"Zhmerynka","Ukraine",35960,49.037,28.112
"Avdiyivka","Ukraine",35826,48.1399,37.7425
"Hlukhiv","Ukraine",35387,51.6782,33.9162
"Sambir","Ukraine",35197,49.5183,23.1975
"Tokmak","Ukraine",34926,47.2552,35.7124
"Boyarka","Ukraine",34631,50.3191,30.2973
"Dolyns'ka","Ukraine",34267,48.1104,32.7645
"Starokostiantyniv","Ukraine",33897,49.7576,27.2034
"Vyshneve","Ukraine",33183,50.3891,30.3705
"Slavuta","Ukraine",33080,50.3016,26.8651
"Netishyn","Ukraine",33063,50.34,26.6417
"Mohyliv-Podilskyi","Ukraine",32500,48.446,27.7982
"Kupjansk","Ukraine",32449,49.7105,37.6152
"Synel'nykove","Ukraine",31900,48.3204,35.5179
"Obukhiv","Ukraine",31557,50.1069,30.6185
"Balakliya","Ukraine",31156,49.4627,36.8595
"Krasnoperekops'k","Ukraine",30700,45.9572,33.7965
"Kostopil'","Ukraine",30500,50.8784,26.4519
"Debal'tseve","Ukraine",30200,48.3407,38.4049
"Pervomays'kyy","Ukraine",30000,49.3874,36.2147
"Alushta","Ukraine",29586,44.6773,34.4097
"Pereval's'k","Ukraine",29220,48.4378,38.8438
"Chortkiv","Ukraine",28855,49.0171,25.798
"Novoyavorivs'k","Ukraine",28807,49.9302,23.5736
"Tsyurupyns'k","Ukraine",28800,46.6184,32.7189
"Saki","Ukraine",28322,45.1342,33.6
"Znomenka","Ukraine",28318,48.7128,32.6647
"Lyman","Ukraine",28200,48.9884,37.8022
"Khmilnyk","Ukraine",28136,49.5598,27.9575
"Khust","Ukraine",27999,48.1793,23.2991
"Zolotonosha","Ukraine",27722,49.6683,32.0405
"Lebedyn","Ukraine",27695,50.5852,34.4849
"Vynohradiv","Ukraine",27600,48.1413,23.0267
"Bakhchysarai","Ukraine",27351,44.7552,33.8578
"Sarny","Ukraine",27097,51.338,26.6019
"Malyn","Ukraine",27068,50.7723,29.2383
"Truskavets'","Ukraine",26600,49.2784,23.5062
"Berehove","Ukraine",25741,48.2056,22.6442
"Kaniv","Ukraine",25666,49.7518,31.46
"Molodohvardiys'k","Ukraine",25654,48.3451,39.6524
"Kozyatyn","Ukraine",25645,49.7143,28.8339
"Popasna","Ukraine",25442,48.6333,38.378
"Korostyshiv","Ukraine",25099,50.3172,29.0563
"Yuzhne","Ukraine",25000,46.6221,31.1013
"Slavutych","Ukraine",25000,51.5225,30.7181
"Haisyn","Ukraine",24687,48.8114,29.3898
"Armyansk","Ukraine",24442,46.1092,33.6921
"Selydove","Ukraine",24269,48.1471,37.3003
"Krolevets'","Ukraine",24115,51.5477,33.3848
"Dokuchayevs'k","Ukraine",23900,47.7505,37.6794
"Volnovakha","Ukraine",23731,47.601,37.4967
"Zdolbuniv","Ukraine",23697,50.5206,26.2425
"Merefa","Ukraine",23679,49.823,36.0507
"Kreminna","Ukraine",23538,49.0495,38.2179
"Bakhmach","Ukraine",23379,51.1814,32.8346
"Brody","Ukraine",23239,50.0879,25.1503
"Yahotyn","Ukraine",22779,50.2798,31.7625
"Hadyach","Ukraine",22667,50.3711,33.991
"Zolochiv","Ukraine",22608,49.806,24.8944
"Lyubotyn","Ukraine",22545,49.9469,35.9291
"Polonne","Ukraine",22348,50.1242,27.5109
